entity,n-revs
Src/FluentAssertions/CallerIdentification/AddNonEmptySymbolParsingStrategy.cs,3
Src/FluentAssertions/Streams/BufferedStreamAssertions.cs,3
Src/FluentAssertions/Equivalency/Tracing/Tracer.cs,3
Src/FluentAssertions/Specialized/ActionAssertions.cs,3
Src/FluentAssertions/Equivalency/Steps/GenericEnumerableEquivalencyStep.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.AllSatisfy.cs,3
Tests/FluentAssertions.Specs/Primitives/StringAssertionSpecs.MatchRegex.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.HaveCountGreaterThanOrEqualTo.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.Contain.cs,3
Src/FluentAssertions/TypeExtensions.cs,3
Src/FluentAssertions/Streams/StreamAssertions.cs,3
Src/FluentAssertions/Equivalency/Execution/CyclicReferenceDetector.cs,3
Src/FluentAssertions/SystemExtensions.cs,3
Tests/FluentAssertions.Equivalency.Specs/TypedDataTableSpecs.cs,3
Tests/Benchmarks/LargeDataTableEquivalency.cs,3
Src/FluentAssertions/Primitives/StringStartValidator.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.HaveCount.cs,3
Tests/FluentAssertions.Specs/Streams/StreamAssertionSpecs.cs,3
Src/FluentAssertions/Formatting/EnumValueFormatter.cs,3
Src/FluentAssertions/Equivalency/Comparands.cs,3
Src/FluentAssertions/Equivalency/Steps/EnumerableEquivalencyValidatorExtensions.cs,3
Src/FluentAssertions/Primitives/NullableDateTimeAssertions.cs,3
Tests/FluentAssertions.Specs/Formatting/MultidimensionalArrayFormatterSpecs.cs,3
Src/FluentAssertions/CallerIdentification/CallerStatementBuilder.cs,3
Tests/FluentAssertions.Specs/FakeClock.cs,3
Src/FluentAssertions/Common/Iterator.cs,3
Src/FluentAssertions/Execution/DefaultAssertionStrategy.cs,3
Tests/FluentAssertions.Equivalency.Specs/DataRelationSpecs.cs,3
Src/FluentAssertions/Equivalency/Steps/AssertionContext.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.ContainInConsecutiveOrder.cs,3
Src/FluentAssertions/DataSetAssertionExtensions.cs,3
Tests/FluentAssertions.Specs/Types/TypeAssertionSpecs.HaveProperty.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.HaveCountLessThanOrEqualTo.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.BeEmpty.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.AllBeOfType.cs,3
Tests/FluentAssertions.Specs/Collections/Data/DataColumnCollectionAssertionSpecs.cs,3
Src/FluentAssertions/Common/StopwatchTimer.cs,3
Src/FluentAssertions/Formatting/ValueFormatterAttribute.cs,3
Src/FluentAssertions/Equivalency/Execution/ObjectInfo.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.BeEquivalentTo.cs,3
Src/FluentAssertions/Equivalency/OrderingRuleCollection.cs,3
Src/FluentAssertions/CustomAssertionAttribute.cs,3
Src/FluentAssertions/Equivalency/EquivalencyAssertionOptions.cs,3
Src/FluentAssertions/Formatting/AggregateExceptionValueFormatter.cs,3
Src/FluentAssertions/Equivalency/Steps/ConstraintCollectionEquivalencyStep.cs,3
Src/FluentAssertions/Common/TimeOnlyExtensions.cs,3
Tests/Benchmarks/Program.cs,3
